Id,Rule Name,Product,Severity,Status,Dependency,Version,Reachability,Transitivity,Cve,Epss,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
864564391,Inefficient Algorithmic Complexity in js-yaml,Supply Chain,Medium,Open,js-yaml,3.14.2,No Reachability Analysis,Transitive,CVE-2026-53550,0.25% (Low),,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\auth-service\package-lock.json#L1518,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/supply-chain/findings/864564391,2026-06-25 17:23:30.514238,2026-06-25 17:23:30.502798,refs/heads/taller-SAST/ciloor2,,,,Affected versions of js-yaml are vulnerable to Inefficient Algorithmic Complexity.
864564390,Inefficient Algorithmic Complexity in js-yaml,Supply Chain,Medium,Open,js-yaml,3.14.2,No Reachability Analysis,Transitive,CVE-2026-53550,0.25% (Low),,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\products\package-lock.json#L1516,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/supply-chain/findings/864564390,2026-06-25 17:23:30.514215,2026-06-25 17:23:30.502784,refs/heads/taller-SAST/ciloor2,,,,Affected versions of js-yaml are vulnerable to Inefficient Algorithmic Complexity.
864564389,Incomplete Cleanup in multer,Supply Chain,Medium,Open,multer,2.1.1,No Reachability Analysis,Transitive,CVE-2026-5038,0.28% (Low),,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\auth-service\package-lock.json#L7933,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/supply-chain/findings/864564389,2026-06-25 17:23:30.514193,2026-06-25 17:23:30.502763,refs/heads/taller-SAST/ciloor2,,,,Affected versions of multer are vulnerable to Incomplete Cleanup.
864564388,Incomplete Cleanup in multer,Supply Chain,Medium,Open,multer,2.1.1,No Reachability Analysis,Transitive,CVE-2026-5038,0.28% (Low),,local_scan/taller-sast,https://github.com/agcudco/taller-sast,https://github.com/agcudco/taller-sast/blob/5d22220e70f1b7c511f56b33585ba25f779fa110/apps\products\package-lock.json#L7889,https://semgrep.dev/orgs/ciloor2_espe_edu_ec/supply-chain/findings/864564388,2026-06-25 17:23:30.514136,2026-06-25 17:23:30.502701,refs/heads/taller-SAST/ciloor2,,,,Affected versions of multer are vulnerable to Incomplete Cleanup.
